OBJECTID,PROFILE,GNIS_NAME,SHEETNUM,LEN_MI,LEN_FT,SITUATION,ALT_NAME,HYPERLINK_EXT,THUMBNAIL,GLOBALID,SHAPE_Length
20,X0000010p,Crosswicks Creek,3 of 3,0.851101,4493.81328382,River/Stream centerline,,https://www.nj.gov/dep/landuse/images/flood/profiles/X0000010p.tif,https://www.nj.gov/dep/landuse/images/flood/thumbnails/X0000010p.jpg,{767B82E6-7B10-4208-B2FE-A5AEB4B8E2C4},4493.81330561722
21,X0000020p,Delaware River,"1P, 2P, 3P",3.30113636,17430,River/Stream centerline,,https://www.nj.gov/dep/landuse/images/flood/profiles/X0000020p.tif,https://www.nj.gov/dep/landuse/images/flood/thumbnails/X0000020p.jpg,{8B8587A4-E3C2-4215-AE36-14C2095DFD23},17430.0002365648
22,SUPPXII27p,Scotland Run,08p,2.23845422,11819.0382839,River/Stream centerline,,https://www.nj.gov/dep/landuse/images/flood/profiles/SUPPXII27p.tif,https://www.nj.gov/dep/landuse/images/flood/thumbnails/SUPPXII27p.jpg,{C1DDCE11-D457-40F9-81F8-3CF751FFB567},11819.0383608664
23,SUPPXII24p,Little Ease Run,05p,2.73171615,14423.4612774,Stream,,https://www.nj.gov/dep/landuse/images/flood/profiles/SUPPXII24p.tif,https://www.nj.gov/dep/landuse/images/flood/thumbnails/SUPPXII24p.jpg,{9CE7CB8B-41CA-47F3-A2B4-7E661DAD6070},14423.4607463605
24,SUPPXII22p,Still Run,03p,1.06728343,5635.25652208,River/Stream centerline,,https://www.nj.gov/dep/landuse/images/flood/profiles/SUPPXII22p.tif,https://www.nj.gov/dep/landuse/images/flood/thumbnails/SUPPXII22p.jpg,{A3A9D4A2-497D-49DC-A0DD-6BF80EFB11A9},5635.25619845751
25,SUPPXII53p,Maurice River,17p,2.4,12672,River/Stream centerline,,https://www.nj.gov/dep/landuse/images/flood/profiles/SUPPXII53p.tif,https://www.nj.gov/dep/landuse/images/flood/thumbnails/SUPPXII53p.jpg,{D6E9306E-7392-4789-9751-9BBBBDB98036},12671.9999971637
26,SUPPXII37p,Scotland Run,01p,1.52616285,8058.13985171,Stream,,https://www.nj.gov/dep/landuse/images/flood/profiles/SUPPXII37p.tif,https://www.nj.gov/dep/landuse/images/flood/thumbnails/SUPPXII37p.jpg,{B4A65C6C-6305-4CBE-8029-7056E24A23CD},8058.14044298045
27,SUPPXII46p,Blackwater Branch,10p,2.58764355,13662.7579664,Stream,,https://www.nj.gov/dep/landuse/images/flood/profiles/SUPPXII46p.tif,https://www.nj.gov/dep/landuse/images/flood/thumbnails/SUPPXII46p.jpg,{4198B28C-1B3A-48C1-8072-54573C7C196C},13662.75829337
28,SUPPXII39p,Piney Branch,03p,1.13636364,6000,Stream,,https://www.nj.gov/dep/landuse/images/flood/profiles/SUPPXII39p.tif,https://www.nj.gov/dep/landuse/images/flood/thumbnails/SUPPXII39p.jpg,{045AE1A6-A773-4A8E-AB35-0D600B4259DF},5999.99994719774
29,SUPPXII41p,Manantico,05p,1.42045455,7500,Artificial Connector,,https://www.nj.gov/dep/landuse/images/flood/profiles/SUPPXII41p.tif,https://www.nj.gov/dep/landuse/images/flood/thumbnails/SUPPXII41p.jpg,{CEEC3651-3143-4D41-B455-3FCC2DFBBFAD},7500.00004953711
30,SUPPXII29p,Maurice River,02p,3.78787879,20000,River/Stream centerline,,https://www.nj.gov/dep/landuse/images/flood/profiles/SUPPXII29p.tif,https://www.nj.gov/dep/landuse/images/flood/thumbnails/SUPPXII29p.jpg,{7C6B4784-15E5-4705-8C21-323075340A6D},20000.0002016414
31,SUPPXII48p,Manumuskin River,12p,3.69318182,19500,Stream,,https://www.nj.gov/dep/landuse/images/flood/profiles/SUPPXII48p.tif,https://www.nj.gov/dep/landuse/images/flood/thumbnails/SUPPXII48p.jpg,{816D2DC9-EC9A-42DD-86AA-FD2B79CB0D7E},19500.0006828011
32,M0000092p,Cropwell Brook,16P,0.66880874,3531.31017171,Stream,,https://www.nj.gov/dep/landuse/images/flood/profiles/M0000092p.tif,https://www.nj.gov/dep/landuse/images/flood/thumbnails/M0000092p.jpg,{89C70B1F-EBEE-4082-BDF7-5EDC4762B783},3531.31009967195
33,M0000094p,South Branch Pennsauken Creek,14P,0.9469697,5000,Stream,,https://www.nj.gov/dep/landuse/images/flood/profiles/M0000094p.tif,https://www.nj.gov/dep/landuse/images/flood/thumbnails/M0000094p.jpg,{1EE3C252-48B7-4760-8F64-997AF65D7906},5000.00071950114
34,M0000093p,South Branch Pennsauken Creek,15P,0.90909091,4800,Stream,,https://www.nj.gov/dep/landuse/images/flood/profiles/M0000093p.tif,https://www.nj.gov/dep/landuse/images/flood/thumbnails/M0000093p.jpg,{1E939F92-2F82-4A5E-BB53-9321A4AF603E},4799.99994576866
35,M0000097p,Kettle Run,11P,0.85227273,4500,River/Stream centerline,,https://www.nj.gov/dep/landuse/images/flood/profiles/M0000097p.tif,https://www.nj.gov/dep/landuse/images/flood/thumbnails/M0000097p.jpg,{F9398F5C-DA32-485C-8468-6D5C8142814E},4500.00005227035
36,M0000096p,Kettle Run,12P,1.13636364,6000,River/Stream centerline,,https://www.nj.gov/dep/landuse/images/flood/profiles/M0000096p.tif,https://www.nj.gov/dep/landuse/images/flood/thumbnails/M0000096p.jpg,{6BE20069-962F-405C-8621-3085E7AED853},6000.00005893229
37,M0000095p,Kettle Run,13P,0.68181818,3600,River/Stream centerline,,https://www.nj.gov/dep/landuse/images/flood/profiles/M0000095p.tif,https://www.nj.gov/dep/landuse/images/flood/thumbnails/M0000095p.jpg,{899A769F-3274-4F33-8943-A69A44FC4C3A},3599.99948736329
38,M0000100p,Black Run,08P,1.13636364,6000,Stream,,https://www.nj.gov/dep/landuse/images/flood/profiles/M0000100p.tif,https://www.nj.gov/dep/landuse/images/flood/thumbnails/M0000100p.jpg,{A2B09F6C-FC5A-4CC1-B827-CA9DF91F0F5F},6000.00049829376
39,M0000099p,Black Run,09P,1.13636364,6000,Stream,,https://www.nj.gov/dep/landuse/images/flood/profiles/M0000099p.tif,https://www.nj.gov/dep/landuse/images/flood/thumbnails/M0000099p.jpg,{8DEFFFC9-D5FA-4F04-9E32-DECE5F6F2FFF},5999.99983090721
40,M0000106p,Barton Run,03P,2.08333333,11000,Artificial Connector,,https://www.nj.gov/dep/landuse/images/flood/profiles/M0000106p.tif,https://www.nj.gov/dep/landuse/images/flood/thumbnails/M0000106p.jpg,{7E480D8A-25FE-41A2-8CEE-2B7644B3730E},11000.0002487469
41,M0000104p,Barton Run,05P,1.20448946,6359.70433557,Artificial Connector,,https://www.nj.gov/dep/landuse/images/flood/profiles/M0000104p.tif,https://www.nj.gov/dep/landuse/images/flood/thumbnails/M0000104p.jpg,{2BBB10D7-8553-4B42-8A5C-BDF1C02B5B91},6359.70391037092
42,M0000108p,Southwest Branch South Branch Rancocas Creek,01P,1.51515152,8000,Stream,,https://www.nj.gov/dep/landuse/images/flood/profiles/M0000108p.tif,https://www.nj.gov/dep/landuse/images/flood/thumbnails/M0000108p.jpg,{6403A086-17DC-48BC-B8FA-0C0D1518F784},7999.99956102954
43,M0000107p,Southwest Branch South Branch Rancocas Creek,02P,1.23106061,6500,Stream,,https://www.nj.gov/dep/landuse/images/flood/profiles/M0000107p.tif,https://www.nj.gov/dep/landuse/images/flood/thumbnails/M0000107p.jpg,{4777E6ED-D7D4-4A16-B127-431A889C4194},6500.00038291485
44,M0000123p,Haynes Creek,11P,2.08333333,11000,Stream,,https://www.nj.gov/dep/landuse/images/flood/profiles/M0000123p.tif,https://www.nj.gov/dep/landuse/images/flood/thumbnails/M0000123p.jpg,{1F04954F-55D4-4CCD-9A0D-E4F6604C66E7},11000.0001002412
45,M0000122p,Haynes Creek,12P,2.08333333,11000,Stream,,https://www.nj.gov/dep/landuse/images/flood/profiles/M0000122p.tif,https://www.nj.gov/dep/landuse/images/flood/thumbnails/M0000122p.jpg,{3EEA54BC-5E3D-4560-ACA2-756DA6665F6B},11000.0001954761
46,M0000121p,Haynes Creek,13P,1.51515152,8000,Stream,,https://www.nj.gov/dep/landuse/images/flood/profiles/M0000121p.tif,https://www.nj.gov/dep/landuse/images/flood/thumbnails/M0000121p.jpg,{6E87FDD6-062E-43F3-A256-4F7F5A946A0E},7999.99984605229
47,M0000125p,Barton Run,09P,1.00120738,5286.3749593,River/Stream centerline,,https://www.nj.gov/dep/landuse/images/flood/profiles/M0000125p.tif,https://www.nj.gov/dep/landuse/images/flood/thumbnails/M0000125p.jpg,{F90A8274-3170-45DE-B6B4-2F940C54DE79},5286.37489026104
48,M0000129p,Sharps Run,05P,1.04166667,5500,Stream,,https://www.nj.gov/dep/landuse/images/flood/profiles/M0000129p.tif,https://www.nj.gov/dep/landuse/images/flood/thumbnails/M0000129p.jpg,{2C239D13-D206-47AA-962C-99C39574009D},5499.99936849429
49,M0000128p,Sharps Run,06P,0.88731061,4684.99999993,Stream,,https://www.nj.gov/dep/landuse/images/flood/profiles/M0000128p.tif,https://www.nj.gov/dep/landuse/images/flood/thumbnails/M0000128p.jpg,{4D354BEF-649A-4648-B7B7-4449011B2B2E},4684.9993675237
50,M0000127p,Sharps Run,07P,0.87784091,4635,Stream,,https://www.nj.gov/dep/landuse/images/flood/profiles/M0000127p.tif,https://www.nj.gov/dep/landuse/images/flood/thumbnails/M0000127p.jpg,{2048AFB2-BD6B-44CD-A13F-AAEE13AB28AC},4635.00129062691
51,M0000133p,Southwest Branch South Branch Rancocas Creek,01P,1.89393939,10000,River/Stream centerline,,https://www.nj.gov/dep/landuse/images/flood/profiles/M0000133p.tif,https://www.nj.gov/dep/landuse/images/flood/thumbnails/M0000133p.jpg,{A24E9152-63CC-4684-8E0D-2EC23223B4CE},9999.99841984796
52,M0000132p,Southwest Branch South Branch Rancocas Creek,02P,1.89393939,10000,River/Stream centerline,,https://www.nj.gov/dep/landuse/images/flood/profiles/M0000132p.tif,https://www.nj.gov/dep/landuse/images/flood/thumbnails/M0000132p.jpg,{6A487E0E-AB6A-4666-B4AE-3E0D12668D26},9999.99917914656
53,M0000130p,Southwest Branch Rancocas Creek,04P,1.90786168,10073.5096772,River/Stream centerline,,https://www.nj.gov/dep/landuse/images/flood/profiles/M0000130p.tif,https://www.nj.gov/dep/landuse/images/flood/thumbnails/M0000130p.jpg,{755DB12B-8EEF-42BE-BE0B-07CF35F3B12C},10073.5105395466
54,M0000139p,Friendship Creek,14P,1.70454545,9000,River/Stream centerline,,https://www.nj.gov/dep/landuse/images/flood/profiles/M0000139p.tif,https://www.nj.gov/dep/landuse/images/flood/thumbnails/M0000139p.jpg,{40894E45-BE65-478A-B221-60B132DED9F2},8999.99982205146
55,M0000141p,Beaverdam Creek,12P,1.13636364,6000,River/Stream centerline,,https://www.nj.gov/dep/landuse/images/flood/profiles/M0000141p.tif,https://www.nj.gov/dep/landuse/images/flood/thumbnails/M0000141p.jpg,{430A7AF6-D0DC-4C61-B0F7-AB0DCE8708AB},5999.99968974818
56,M0000140p,Beaverdam Creek,13P,1.04166667,5500,River/Stream centerline,,https://www.nj.gov/dep/landuse/images/flood/profiles/M0000140p.tif,https://www.nj.gov/dep/landuse/images/flood/thumbnails/M0000140p.jpg,{6CC0BB3E-51DD-4EA2-80B8-A696307F0D77},5499.99985713085
57,M0000143p,Jade Run,10P,2.27272727,12000,Stream,,https://www.nj.gov/dep/landuse/images/flood/profiles/M0000143p.tif,https://www.nj.gov/dep/landuse/images/flood/thumbnails/M0000143p.jpg,{1B37D390-B0D8-4015-B313-AB18E679AD55},11999.9982239104
58,M0000142p,Jade Run,11P,2.59539605,13703.6911696,Stream,,https://www.nj.gov/dep/landuse/images/flood/profiles/M0000142p.tif,https://www.nj.gov/dep/landuse/images/flood/thumbnails/M0000142p.jpg,{9F087A02-FE8E-495A-8C96-015B036CFBC7},13703.6899105466
59,M0000152p,South Branch Rancocas Creek,01P,2.03604541,10750.3197536,Stream,,https://www.nj.gov/dep/landuse/images/flood/profiles/M0000152p.tif,https://www.nj.gov/dep/landuse/images/flood/thumbnails/M0000152p.jpg,{6C9943BA-CE7F-44B7-8017-391CB97A742E},10750.3194650862
60,M0000151p,South Branch Rancocas Creek,02P,1.90011811,10032.623636,Stream,,https://www.nj.gov/dep/landuse/images/flood/profiles/M0000151p.tif,https://www.nj.gov/dep/landuse/images/flood/thumbnails/M0000151p.jpg,{75429DE7-5244-4DE9-9579-7D9524E15245},10032.6240617697
61,M0000150p,South Branch Rancocas Creek,03P,1.91289325,10100.0763492,Stream,,https://www.nj.gov/dep/landuse/images/flood/profiles/M0000150p.tif,https://www.nj.gov/dep/landuse/images/flood/thumbnails/M0000150p.jpg,{49A8F836-CCD2-4171-BA44-38DEC3C9E2DF},10100.0754687246
62,M0000149p,South Branch Rancocas Creek,04P,1.69008428,8923.6450144,Stream,,https://www.nj.gov/dep/landuse/images/flood/profiles/M0000149p.tif,https://www.nj.gov/dep/landuse/images/flood/thumbnails/M0000149p.jpg,{0A7417FF-6C34-4BB3-9436-567EB49D0167},8923.64578123254
63,M0000157p,Bobbys Run,09P,0.9243002,4880.30507464,Stream,,https://www.nj.gov/dep/landuse/images/flood/profiles/M0000157p.tif,https://www.nj.gov/dep/landuse/images/flood/thumbnails/M0000157p.jpg,{B4276CCA-D9E5-432A-AB3A-FCC358AA6443},4880.30478278695
64,M0000156p,Bobbys Run,10P,0.59085131,3119.69492538,Stream,,https://www.nj.gov/dep/landuse/images/flood/profiles/M0000156p.tif,https://www.nj.gov/dep/landuse/images/flood/thumbnails/M0000156p.jpg,{8FF2F7C9-90E2-41F9-A64C-8E1FDD29E15A},3119.69522956955
65,M0000160p,Masons Creek,06P,0.89962121,4750,Stream,,https://www.nj.gov/dep/landuse/images/flood/profiles/M0000160p.tif,https://www.nj.gov/dep/landuse/images/flood/thumbnails/M0000160p.jpg,{E128091D-D71F-4C4F-B102-1E3B5C8D1253},4749.99987660927
66,M0000165p,South Branch Rancocas Creek,01P,1.74242424,9200,River/Stream centerline,,https://www.nj.gov/dep/landuse/images/flood/profiles/M0000165p.tif,https://www.nj.gov/dep/landuse/images/flood/thumbnails/M0000165p.jpg,{A51B34C5-EA45-4EE2-8538-F2820DCEC12B},9200.0001054011
67,M0000164p,South Branch Rancocas Creek,02P,1.70454545,9000,River/Stream centerline,,https://www.nj.gov/dep/landuse/images/flood/profiles/M0000164p.tif,https://www.nj.gov/dep/landuse/images/flood/thumbnails/M0000164p.jpg,{1907EA2A-BA35-4D7D-AA99-DD061ADB346C},8999.99975051362
68,M0000163p,South Branch Rancocas Creek,03P,1.9155633,10114.1742115,River/Stream centerline,,https://www.nj.gov/dep/landuse/images/flood/profiles/M0000163p.tif,https://www.nj.gov/dep/landuse/images/flood/thumbnails/M0000163p.jpg,{24BE4091-8983-48FD-A00B-65467DBCE2D1},10114.1738484171
69,M0000167p,Masons Creek,05P,2.08333333,11000,Stream,,https://www.nj.gov/dep/landuse/images/flood/profiles/M0000167p.tif,https://www.nj.gov/dep/landuse/images/flood/thumbnails/M0000167p.jpg,{3542A46C-33E1-4D50-BB9B-AB311EEEE363},11000.0004804765
70,M0000168p,South Branch Rancocas Creek,04P,2.07597172,10961.1306729,River/Stream centerline,,https://www.nj.gov/dep/landuse/images/flood/profiles/M0000168p.tif,https://www.nj.gov/dep/landuse/images/flood/thumbnails/M0000168p.jpg,{79BD3E88-35E4-4D67-BC2B-BF2BA3AF3C70},10961.1309151188
71,M0000170p,North Branch Rancocas Creek,02P,1.9710937,10407.3747289,River/Stream centerline,,https://www.nj.gov/dep/landuse/images/flood/profiles/M0000170p.tif,https://www.nj.gov/dep/landuse/images/flood/thumbnails/M0000170p.jpg,{5475CE11-00B1-45D9-BEBE-83A53D7E0D12},10407.374877285
72,M0000173p,Baffin Brook,17P,1.46644041,7742.80537119,Stream,,https://www.nj.gov/dep/landuse/images/flood/profiles/M0000173p.tif,https://www.nj.gov/dep/landuse/images/flood/thumbnails/M0000173p.jpg,{3387E08A-C851-47F7-BDFC-DB57605AD8F5},7742.80632257034
73,M0000177p,Pole Bridge Branch,13P,0.9469697,5000,Artificial Connector,,https://www.nj.gov/dep/landuse/images/flood/profiles/M0000177p.tif,https://www.nj.gov/dep/landuse/images/flood/thumbnails/M0000177p.jpg,{04DAD38B-1F36-4170-A9F8-B3501B33DAF1},5000.00007527921
74,M0000176p,Pole Bridge Branch,14P,0.9469697,5000,Artificial Connector,,https://www.nj.gov/dep/landuse/images/flood/profiles/M0000176p.tif,https://www.nj.gov/dep/landuse/images/flood/thumbnails/M0000176p.jpg,{C9286038-28DB-434A-83C7-2640A5547B43},4999.99963757101
75,M0000175p,Pole Bridge Branch,15P,0.90633853,4785.46745053,Artificial Connector,,https://www.nj.gov/dep/landuse/images/flood/profiles/M0000175p.tif,https://www.nj.gov/dep/landuse/images/flood/thumbnails/M0000175p.jpg,{8811C27C-1433-4771-8AE4-09E9A0B308C6},4785.46777114233
76,M0000179p,Cranberry Branch,11P,0.88045075,4648.77995034,Ditch,,https://www.nj.gov/dep/landuse/images/flood/profiles/M0000179p.tif,https://www.nj.gov/dep/landuse/images/flood/thumbnails/M0000179p.jpg,{B62B29F1-978B-4B5D-AF89-16DEC810173F},4648.77982377606
77,M0000178p,Cranberry Branch,12P,1.07460983,5673.93988976,Ditch,,https://www.nj.gov/dep/landuse/images/flood/profiles/M0000178p.tif,https://www.nj.gov/dep/landuse/images/flood/thumbnails/M0000178p.jpg,{DC0CBBA1-EEC4-4D25-9C64-083BC06E20D3},5673.94017670188
78,M0000180p,Ong Run,10P,0.85227273,4500,Stream,,https://www.nj.gov/dep/landuse/images/flood/profiles/M0000180p.tif,https://www.nj.gov/dep/landuse/images/flood/thumbnails/M0000180p.jpg,{99FDB557-026B-4ECE-B851-381DF275BCB0},4500.00065149838
79,M0000181p,Budd Run,09P,0.81439394,4300,Stream,,https://www.nj.gov/dep/landuse/images/flood/profiles/M0000181p.tif,https://www.nj.gov/dep/landuse/images/flood/thumbnails/M0000181p.jpg,{0EAE4F89-2BC6-4B1F-BC99-5CD7D7390622},4299.99951692045
80,M0000189p,North Branch Rancocas Creek,01P,0.51609848,2725,River/Stream centerline,,https://www.nj.gov/dep/landuse/images/flood/profiles/M0000189p.tif,https://www.nj.gov/dep/landuse/images/flood/thumbnails/M0000189p.jpg,{F97BC9E5-429F-42CD-9970-AAE484C5E4D7},2724.99988848946
81,M0000188p,North Branch Rancocas Creek,02P,2.08333333,11000,River/Stream centerline,,https://www.nj.gov/dep/landuse/images/flood/profiles/M0000188p.tif,https://www.nj.gov/dep/landuse/images/flood/thumbnails/M0000188p.jpg,{CAD643BE-338F-46AD-842D-C766A49CC3CC},10999.999953951
82,M0000186p,North Branch Rancocas Creek,04P,1.89393939,10000,River/Stream centerline,,https://www.nj.gov/dep/landuse/images/flood/profiles/M0000186p.tif,https://www.nj.gov/dep/landuse/images/flood/thumbnails/M0000186p.jpg,{980C10F1-25DF-4E35-A019-33F1AEEEFCD5},10000.0001665587
83,M0000185p,North Branch Rancocas Creek,05P,2.27272727,12000,River/Stream centerline,,https://www.nj.gov/dep/landuse/images/flood/profiles/M0000185p.tif,https://www.nj.gov/dep/landuse/images/flood/thumbnails/M0000185p.jpg,{1E0DB163-62CC-44CC-BEC6-A5C070CE8A7D},11999.9994761554
84,M0000184p,North Branch Rancocas Creek,06P,2.4616501,12997.5125173,River/Stream centerline,,https://www.nj.gov/dep/landuse/images/flood/profiles/M0000184p.tif,https://www.nj.gov/dep/landuse/images/flood/thumbnails/M0000184p.jpg,{B45FE809-EBDF-4B35-8BA2-41B0707ACC6E},12997.5126198566
85,M0000191p,North Branch Rancocas Creek,01P,1.21001199,6388.86333204,River/Stream centerline,,https://www.nj.gov/dep/landuse/images/flood/profiles/M0000191p.tif,https://www.nj.gov/dep/landuse/images/flood/thumbnails/M0000191p.jpg,{762BB6D2-3982-4C9C-9B30-6C11AD8BF3C1},6388.86358586166
86,M0000194p,Mill Creek,04P,0.9469697,5000,Stream,,https://www.nj.gov/dep/landuse/images/flood/profiles/M0000194p.tif,https://www.nj.gov/dep/landuse/images/flood/thumbnails/M0000194p.jpg,{F6E9D366-9425-4E98-9D98-C90C25B8BC02},4999.99947202243
87,M0000198p,Buttonwood Run,06P,0.46279308,2443.54745633,Artificial Connector,,https://www.nj.gov/dep/landuse/images/flood/profiles/M0000198p.tif,https://www.nj.gov/dep/landuse/images/flood/thumbnails/M0000198p.jpg,{1003B39D-F783-4475-8726-A0BBA807783D},2443.54750271358
88,M0000205p,North Branch Rancocas Creek,01P,1.70454545,9000,River/Stream centerline,,https://www.nj.gov/dep/landuse/images/flood/profiles/M0000205p.tif,https://www.nj.gov/dep/landuse/images/flood/thumbnails/M0000205p.jpg,{06516810-ECA3-4C3E-BE78-DB708A0ACABC},8999.99977485396
89,M0000210p,Mill Creek,03P,1.70454545,9000,River/Stream centerline,,https://www.nj.gov/dep/landuse/images/flood/profiles/M0000210p.tif,https://www.nj.gov/dep/landuse/images/flood/thumbnails/M0000210p.jpg,{C659B101-8162-47C2-A0BC-56275DC0FD20},9000.00056174197
90,M0000208p,Mill Creek,05P,1.61911707,8548.93810468,River/Stream centerline,,https://www.nj.gov/dep/landuse/images/flood/profiles/M0000208p.tif,https://www.nj.gov/dep/landuse/images/flood/thumbnails/M0000208p.jpg,{D5D207AF-866D-420D-ABC4-4E5DDAF497C2},8548.93929272385
91,M0000212p,Rancocas Creek,01P,1.98401411,10475.5945191,River/Stream centerline,,https://www.nj.gov/dep/landuse/images/flood/profiles/M0000212p.tif,https://www.nj.gov/dep/landuse/images/flood/thumbnails/M0000212p.jpg,{88491151-5677-4036-A12B-65FD276C9000},10475.5945902207
