"Dam Name","Other Names","Former Names","NID ID","Other Structure ID","Federal ID","Owner Names","Owner Types","Primary Owner Type","State or Federal Agency ID","Number of Associated Structures","Designer Names","Non-Federal Dam on Federal Property","State Regulated Dam","State Jurisdictional Dam","State Regulatory Agency","State Permitting Authority","State Inspection Authority","State Enforcement Authority","Source Agency","Latitude","Longitude","County","State","City","Distance to Nearest City (Miles)","River or Stream Name","Congressional District","Section, Township, or Range Location","Federal Agency Owners","Federal Agency Involvement Funding","Federal Agency Involvement Design","Federal Agency Involvement Construction","Federal Agency Involvement Regulatory","Federal Agency Involvement Inspection","Federal Agency Involvement Operation","Federal Agency Involvement Other","Primary Purpose","Purposes","Primary Dam Type","Dam Types","Core Types","Foundation","Dam Height (Ft)","Hydraulic Height (Ft)","Structural Height (Ft)","NID Height (Ft)","NID Height Category","Dam Length (Ft)","Volume (Cubic Yards)","Year Completed","Year Completed Category","NID Storage (Acre-Ft)","Max Storage (Acre-Ft)","Normal Storage (Acre-Ft)","Surface Area (Acres)","Drainage Area (Sq Miles)","Max Discharge (Cubic Ft/Second)","Spillway Type","Spillway Width (Ft)","Number of Locks","Length of Locks","Lock Width (Ft)","Years Modified","Outlet Gate Type","Data Last Updated","Last Inspection Date","Inspection Frequency","Hazard Potential Classification","Condition Assessment","Condition Assessment Date","EAP Prepared","EAP Last Revision Date","Website URL"
"St. Mary'S Abbey Lower Dam","","","NJ00924","","NJ00924","S. Mary's Abbey;The Order of St. Benedict of NJ","Private","Private","25-98","0","","","Yes","Yes","NJDEP","Yes","Yes","Yes","New Jersey","40.78881666666667","-74.52418333333334","Morris","New Jersey","Morristown","","Whippany River-TR","Congressional District 11, New Jersey","MORRIS TOWNSHIP","","","","","","","","","Recreation","Recreation","Earth","Earth","","","13","","","13","Less than 25 feet","100","","","Undetermined","15","15","8","4","0.48","845","","","","","","","","2022-04-11","2021-11-25","2","Significant","Poor","2021-11-25","Yes","2013-06-14","https://damsafety.org/new-jersey"
"Derrygally Pond Dam","","","NJ00998","","NJ00998","Perrylin McKelvie","Private","Private","22-331","0","","","Yes","Yes","NJDEP","Yes","Yes","Yes","New Jersey","40.96875","-74.40418333333335","Morris","New Jersey","Boonton","","North Branch Stone Brook","Congressional District 11, New Jersey","KINNELON BOROUGH","","","","","","","","","Recreation","Recreation","Gravity","Stone;Masonry;Gravity","","","8.2","","","8.2","Less than 25 feet","82","","","Undetermined","10","10","8","2","0.03","5","","","","","","","","2022-04-11","2020-09-20","2","Significant","Satisfactory","2020-09-20","Yes","2021-03-31","https://damsafety.org/new-jersey"
"Lake Hopatcong Dam","","","NJ00327","","NJ00327","Division of Parks and Forestry","State","State","25-42","0","","","Yes","Yes","NJDEP","Yes","Yes","Yes","New Jersey","40.91766666666667","-74.66418333333333","Morris","New Jersey","","","Musconetcong River","Congressional District 07, New Jersey","HOPATCONG BOROUGH","","","","","","","","","Flood Risk Reduction","Flood Risk Reduction","Concrete","Concrete","","","17","","","17","Less than 25 feet","271","","1925","1920-1929","48209","","48209","2474","25.400000000000002","0","","","","","","","","2022-04-11","2021-10-21","2","High","Fair","2021-10-21","Yes","2022-02-16","https://damsafety.org/new-jersey"
"Wetland Area I-2 Dam","","","NJ00985","","NJ00985","New Jersey Water Supply Authority","State","State","29-73","0","","","Yes","Yes","NJDEP","Yes","Yes","Yes","New Jersey","40.1495","-74.11748333333334","Monmouth","New Jersey","Wall","","Manasquan River-TR","Congressional District 04, New Jersey","WALL TOWNSHIP","","","","","","","","","Other","Other","Earth","Earth;Gravity","","","8.5","","","8.5","Less than 25 feet","70","","1990","1990-1999","58","58","17","8","0.26","94","","","","","","","","2022-04-11","2016-10-21","4","Low","Satisfactory","2016-10-21","Not Required","","https://damsafety.org/new-jersey"
"Prospertown Dam","","","NJ00455","","NJ00455","Division of Fish & Wildlife","State","State","28-81","0","","","Yes","Yes","NJDEP","Yes","Yes","Yes","New Jersey","40.13316666666667","-74.4606","Ocean","New Jersey","Upper Freehold Township","","Lahaway Creek","Congressional District 04, New Jersey","JACKSON TOWNSHIP","","","","","","","","","Flood Risk Reduction","Flood Risk Reduction","Earth","Earth;Gravity","","","18.5","","","18.5","Less than 25 feet","550","","1966","1960-1969","490","490","402","70","3.3000000000000003","834","","","","","","","","2022-04-11","2020-05-26","2","High","Fair","2020-05-26","Yes","2018-06-25","https://damsafety.org/new-jersey"
"Assunpink # 6 Dam","","","NJ00551","","NJ00551","Division of Fish & Wildlife","State","State","28-90","0","","","Yes","Yes","NJDEP","Yes","Yes","Yes","New Jersey","40.23428333333333","-74.58401666666666","Mercer","New Jersey","Edinburg","","Assunpink Creek","Congressional District 04, New Jersey","ROBBINSVILLE TOWNSHIP","","Natural Resources Conservation Service","Natural Resources Conservation Service","Natural Resources Conservation Service","","","","","Flood Risk Reduction","Fish and Wildlife Pond;Flood Risk Reduction","Earth","Earth;Gravity","","","31","","","31","25-50 feet","2500","","1975","1970-1979","12653","12653","150","66","22","31614","","","","","","","","2022-04-11","2021-06-14","2","High","Satisfactory","2021-06-14","Yes","2018-06-25","https://damsafety.org/new-jersey"
"Blue Mt Lake Dam","","Lower Blue Mountain Lake Dam","NJ00531","","NJ00531","National Park Service","Federal","Federal","NJ-858","0","USDA NRCS","No","Yes","Yes","NJDEP","Yes","Yes","Yes","National Park Service","41.100452","-74.93077","Sussex","New Jersey","Millbrook Village","3","Vancampens Brook","","","National Park Service","National Park Service","Natural Resources Conservation Service;Natural Resources Conservation Service","Natural Resources Conservation Service","National Park Service","National Park Service","National Park Service","","Recreation","Fish and Wildlife Pond;Recreation","Earth","Earth","Earth","Rock;Soil","26","26","26","26","25-50 feet","500","13000","1963","1960-1969","171","171","96","14","0.66","4575","Uncontrolled","185","0","0","0","","Uncontrolled","2022-04-18","","5","Low","Not Available","","No","","https://www.nps.gov/index.htm"
"Sallys Pond Dam","","","NJ00191","","NJ00191","Division of Parks and Forestry","State","State","23-19","0","","","Yes","Yes","NJDEP","Yes","Yes","Yes","New Jersey","41.13541666666666","-74.2596","Passaic","New Jersey","","","Ringwood Creek","Congressional District 05, New Jersey","RINGWOOD BOROUGH","","","","","","","","","Recreation","Recreation","Earth","Earth;Gravity","","","15","","","15","Less than 25 feet","250","","","Undetermined","99","","99","2","16.1","145","","","","","","","","2022-04-11","2020-08-06","2","High","Fair","2020-08-06","Yes","2018-07-16","https://damsafety.org/new-jersey"
"Greenwood Lake Dam","","","NJ00187","","NJ00187","Division of Parks and Forestry","State","State","22-20","0","","","Yes","Yes","NJDEP","Yes","Yes","Yes","New Jersey","41.16163333333333","-74.33321666666666","Passaic","New Jersey","Netcong","","Wanaque River","Congressional District 05, New Jersey","WEST MILFORD TOWNSHIP","","","","","","","","","Recreation","Recreation","Concrete","Gravity;Concrete","","","17","","","17","Less than 25 feet","270","","1928","1920-1929","13269","","13269","1733","27.1","","","","","","","","","2022-04-11","2021-11-15","2","High","Fair","2021-11-15","Yes","2018-07-16","https://damsafety.org/new-jersey"
"Cranberry Lake Dam","","","NJ00325","","NJ00325","Division of Parks and Forestry","State","State","22-72","0","","","Yes","Yes","NJDEP","Yes","Yes","Yes","New Jersey","40.950700000000005","-74.73761666666667","Sussex","New Jersey","","","Lubbers Run","Congressional District 11, New Jersey","BYRAM TOWNSHIP","","","","","","","","","Recreation","Recreation","Earth","Earth;Gravity","","","18","","","18","Less than 25 feet","1000","","","Undetermined","2457","","2457","191","3","894","","","","","","","","2022-04-11","2020-07-31","2","High","Fair","2020-07-31","Yes","2022-02-16","https://damsafety.org/new-jersey"
"New Jersey No Name # 40 Dam","","","NJ00208","","NJ00208","Division of Parks and Forestry","State","State","22-181","0","","","Yes","Yes","NJDEP","Yes","Yes","Yes","New Jersey","41.057900000000004","-74.36581666666666","Passaic","New Jersey","Bloomingdale","","Post Brook-TR","Congressional District 05, New Jersey","WEST MILFORD TOWNSHIP","","","","","","","","","Recreation","Recreation","Earth","Earth;Gravity","","","15","","","15","Less than 25 feet","190","","","Undetermined","226","226","108","23","0.47000000000000003","1850","","","","","","","","2022-04-11","2020-08-06","2","High","Fair","2020-08-06","Yes","2018-07-16","https://damsafety.org/new-jersey"
"Ramapo Lake Dam","","","NJ00216","","NJ00216","Division of Parks and Forestry","State","State","23-34","0","","","Yes","Yes","NJDEP","Yes","Yes","Yes","New Jersey","41.03653333333333","-74.25918333333334","Bergen","New Jersey","","","Ramapo River-TR","Congressional District 05, New Jersey","OAKLAND BOROUGH","","","","","","","","","Recreation","Recreation","Earth","Earth;Gravity","","","13","","","13","Less than 25 feet","300","","","Undetermined","240","","240","90","0.92","","","","","","","","","2022-04-11","2020-08-20","2","High","Fair","2020-08-20","Yes","2018-07-16","https://damsafety.org/new-jersey"
"Union Lake Dam","","","NJ00448","","NJ00448","Division of Fish & Wildlife","State","State","35-12","0","","","Yes","Yes","NJDEP","Yes","Yes","Yes","New Jersey","39.401133333333334","-75.0541","Cumberland","New Jersey","Millville","","Maurice River","Congressional District 02, New Jersey","MILLVILLE CITY","","","","","","","","","Recreation","Recreation","Earth","Earth;Gravity","","","35","","","35","25-50 feet","2000","","1869","Before 1900","20100","20100","11600","850","218","36530","","","","","","","","2022-04-11","2021-11-09","2","High","Fair","2021-11-09","Yes","2019-09-09","https://damsafety.org/new-jersey"
"Powder Mill Pond Dam","","","NJ00803","","NJ00803","New Jersey Transit","State","State","25-48","0","","","Yes","Yes","NJDEP","Yes","Yes","Yes","New Jersey","40.86618333333333","-74.47685","Morris","New Jersey","","","Whippany River-TR","Congressional District 11, New Jersey","PARSIPPANY-TROY HILLS TWP","","","","","","","","","Recreation","Recreation","Earth","Earth;Gravity","","","35","","","35","25-50 feet","660","","","Undetermined","96","","96","8","1.6","0","","","","","","","","2022-04-11","2020-03-26","2","High","Poor","2020-03-26","Yes","2020-04-15","https://damsafety.org/new-jersey"
"Dalrymple Pond Dam","","","NJ00350","","NJ00350","County College of Morris","Local Government","Local Government","25-149","0","","","Yes","Yes","NJDEP","Yes","Yes","Yes","New Jersey","40.854","-74.57863333333333","Morris","New Jersey","Denville","","Mill Brook","Congressional District 11, New Jersey","RANDOLPH TOWNSHIP","","","","","","","","","Irrigation","Irrigation;Flood Risk Reduction","Earth","Earth;Gravity","","","16","","","16","Less than 25 feet","660","","","Undetermined","73","73","24","7","0.6","341","","","","","","","","2022-04-11","2016-07-15","4","Low","Fair","2016-07-15","Not Required","","https://damsafety.org/new-jersey"
"Green Swamp #4 Dam","","","NJ00212","","NJ00212","North Jersey District Water Supply Commission","State","State","23-26","0","","","Yes","Yes","NJDEP","Yes","Yes","Yes","New Jersey","41.04031666666667","-74.31134999999999","Passaic","New Jersey","","","Wanaque River","Congressional District 11, New Jersey","WANAQUE BOROUGH","","","","","","","","","Water Supply","Water Supply","Concrete","Concrete","","","65","","","65","51-100 feet","300","","1925","1920-1929","81730","","81730","2310","90.4","","","","","","","","","2022-04-11","2021-10-06","2","High","Satisfactory","2021-10-06","Yes","2022-02-08","https://damsafety.org/new-jersey"
"Bridgepoint Dam","","","NJ00940","","NJ00940","Township of Montgomery","Local Government","Local Government","28-123","0","","","Yes","Yes","NJDEP","Yes","Yes","Yes","New Jersey","40.42268333333333","-74.64878333333333","Somerset","New Jersey","","","Pike Run-TR","Congressional District 07, New Jersey","MONTGOMERY TOWNSHIP","","","","","","","","","Flood Risk Reduction","Flood Risk Reduction","Earth","Earth;Gravity","","","15.200000000000001","","","15.200000000000001","Less than 25 feet","660","","1988","1980-1989","7","7","0","0","0.07","190","","","","","","","","2022-04-11","2021-08-04","2","Significant","Satisfactory","2021-08-04","Yes","2021-09-20","https://damsafety.org/new-jersey"
"Assunpink #4 Dam","","","NJ00322","","NJ00322","Division of Fish & Wildlife","State","State","28-89","0","","","Yes","Yes","NJDEP","Yes","Yes","Yes","New Jersey","40.219449999999995","-74.52411666666666","Monmouth","New Jersey","","","Assunpink Creek","Congressional District 04, New Jersey","UPPER FREEHOLD TOWNSHIP","","Natural Resources Conservation Service","Natural Resources Conservation Service","Natural Resources Conservation Service","","","","","Flood Risk Reduction","Fish and Wildlife Pond;Recreation;Flood Risk Reduction","Earth","Earth;Gravity","","","24.2","","","24.2","Less than 25 feet","2900","","","Undetermined","4300","4300","1158","225","6.3","503","","","","","","","","2022-04-11","2021-07-14","2","High","Poor","2021-07-14","Yes","2018-06-25","https://damsafety.org/new-jersey"
"Green Turtle Pond Dam","","","NJ00190","","NJ00190","Division of Parks and Forestry","State","State","23-88","0","","","Yes","Yes","NJDEP","Yes","Yes","Yes","New Jersey","41.14206666666666","-74.32985","Passaic","New Jersey","","","Wanaque River-TR","Congressional District 05, New Jersey","WEST MILFORD TOWNSHIP","","","","","","","","","Recreation","Recreation","Earth","Earth;Gravity","","","35","","","35","25-50 feet","305","","","Undetermined","251","","251","28","0.5","0","","","","","","","","2022-04-11","2020-08-12","2","High","Fair","2020-08-12","Yes","2018-07-16","https://damsafety.org/new-jersey"
"Steenykill Lake Dam","","","NJ00278","","NJ00278","Division of Parks and Forestry","State","State","22-142","0","","","Yes","Yes","NJDEP","Yes","Yes","Yes","New Jersey","41.32171666666667","-74.67276666666666","Sussex","New Jersey","","","Steent Brook","Congressional District 05, New Jersey","MONTAGUE TOWNSHIP","","","","","","","","","Recreation","Recreation","Earth","Earth;Gravity","","","25","","","25","25-50 feet","900","","1938","1930-1939","37","","37","39","0.56","","","","","","","","","2022-04-11","2020-10-27","2","High","Poor","2020-10-27","Yes","2021-03-15","https://damsafety.org/new-jersey"
"Marlu Lake Dam","","","NJ00098","","NJ00098","County of Monmouth Park System","Local Government","Local Government","29-53","0","","","Yes","Yes","NJDEP","Yes","Yes","Yes","New Jersey","40.334116666666674","-74.15453333333333","Monmouth","New Jersey","Middletown","","Branch of Hop Brook","Congressional District 04, New Jersey","HOLMDEL TOWNSHIP","","","Natural Resources Conservation Service","","","","","","Irrigation","Irrigation","Earth","Earth;Gravity","","","29","","","29","25-50 feet","424","","1965","1960-1969","82","","82","20","1.4000000000000001","866","","","","","","","","2022-04-11","2019-10-24","4","Low","Fair","2019-10-24","Not Required","","https://damsafety.org/new-jersey"
"Saxton Falls Dam","","","NJ00277","","NJ00277","Division of Parks and Forestry","State","State","24-38","0","","","Yes","Yes","NJDEP","Yes","Yes","Yes","New Jersey","40.88798333333333","-74.79733333333333","Morris","New Jersey","","","Musconctcong River","Congressional District 07, New Jersey","MOUNT OLIVE TOWNSHIP","","","","","","","","","Recreation","Recreation","Earth","Earth;Gravity","","","16","","","16","Less than 25 feet","235","","1927","1920-1929","400","","400","64","68","292","","","","","","","","2022-04-11","2020-07-31","2","High","Satisfactory","2020-07-31","Yes","2022-02-16","https://damsafety.org/new-jersey"
"Willow Crest Dam","","","NJ00272","","NJ00272","Division of Parks and Forestry","State","State","21-61","0","","","Yes","Yes","NJDEP","Yes","Yes","Yes","New Jersey","41.10123333333333","-74.8431","Sussex","New Jersey","Swartswood","","Black Brook","Congressional District 05, New Jersey","STILLWATER TOWNSHIP","","","","","","","","","Recreation","Recreation","Earth","Earth;Gravity","","","17","","","17","Less than 25 feet","400","","1965","1960-1969","351","351","168","28","7.4","5113","","","","","","","","2022-04-11","2021-08-04","2","High","Satisfactory","2021-08-04","Yes","2014-08-04","https://damsafety.org/new-jersey"
"Bamber Lake Dam","","","NJ00584","","NJ00584","Township of Lacey","Local Government","Local Government","33-2","0","","","Yes","Yes","NJDEP","Yes","Yes","Yes","New Jersey","39.895016666666656","-74.31685","Ocean","New Jersey","Lacey Township","","Cedar Creek","Congressional District 03, New Jersey","LACEY TOWNSHIP","","","","","","","","","Recreation","Recreation","Earth","Earth;Gravity","","","12","","","12","Less than 25 feet","160","","","Undetermined","500","500","320","80","22.6","1555","","","","","","","","2022-04-11","2015-06-16","4","Low","Fair","2015-06-16","Not Required","","https://damsafety.org/new-jersey"
"Woodbury Creek Dam","","","NJ00398","","NJ00398","Woodbury City","Local Government","Local Government","31-105","","","","Yes","Yes","NJDEP","Yes","Yes","Yes","New Jersey","39.84195","-75.15035","Gloucester","New Jersey","","","Woodbury Creek","Congressional District 01, New Jersey","","","","","","","","","","Recreation","Recreation","Earth","Earth;Gravity","","","6","","","6","Less than 25 feet","300","","1961","1960-1969","1138","1138","390","49","5","1536","","","","","","","","2022-04-11","2021-04-28","2","Significant","Poor","2021-04-28","No","","https://damsafety.org/new-jersey"
"Regional Stormwater Detention Basin G Dam","","","NJ00952","","NJ00952","Princeton","Local Government","Local Government","28-134","0","","","Yes","Yes","NJDEP","Yes","Yes","Yes","New Jersey","40.385400000000004","-74.66223333333333","Mercer","New Jersey","Montgomery","","Van Horne Brook-TR","Congressional District 12, New Jersey","PRINCETON BOROUGH","","","","","","","","","Flood Risk Reduction","Flood Risk Reduction","Earth","Earth;Gravity","","","18","","","18","Less than 25 feet","690","","1989","1980-1989","32","32","10","183","0.15","1141","","","","","","","","2022-04-11","2019-04-01","2","Significant","Satisfactory","2019-04-01","Yes","2016-04-05","https://damsafety.org/new-jersey"
"Hoaglan Farms West Dam","","","NJ00908","","NJ00908","Township of Montgomery","Local Government","Local Government","28-124","0","","","Yes","Yes","NJDEP","Yes","Yes","Yes","New Jersey","40.449083333333334","-74.64153333333333","Somerset","New Jersey","Millstone","","Pike Run-TR","Congressional District 07, New Jersey","MONTGOMERY TOWNSHIP","","","","","","","","","Flood Risk Reduction","Flood Risk Reduction","Earth","Earth;Gravity","","","11.5","","","11.5","Less than 25 feet","450","","1988","1980-1989","23","23","10","1","0.31","793","","","","","","","","2022-04-11","2019-12-21","2","Significant","Satisfactory","2019-12-21","Yes","2018-01-09","https://damsafety.org/new-jersey"
"Round Valley Dike","","","NJ00022","","NJ00022","New Jersey Water Supply Authority","State","State","24-84","0","","","Yes","Yes","NJDEP","Yes","Yes","Yes","New Jersey","40.63133333333333","-74.84155","Hunterdon","New Jersey","Lebanon","","Prescott Brook","Congressional District 07, New Jersey","CLINTON TOWNSHIP","","","","","","","","","Water Supply","Water Supply","Earth","Earth;Gravity","","","80","","","80","51-100 feet","2350","","1961","1960-1969","196600","196600","168000","2300","5.4","0","","","","","","","","2022-04-11","2019-09-23","2","High","Poor","2019-09-23","Yes","2021-04-30","https://damsafety.org/new-jersey"
"Spruce Run Reservoir Dam","","","NJ00132","","NJ00132","New Jersey Water Supply Authority","State","State","24-81","0","","","Yes","Yes","NJDEP","Yes","Yes","Yes","New Jersey","40.64593333333333","-74.91446666666666","Hunterdon","New Jersey","Clinton","","Spruce Run","Congressional District 07, New Jersey","CLINTON TOWNSHIP","","","","","","","","","Water Supply","Water Supply","Earth","Earth;Gravity","","","93","","","93","51-100 feet","5400","","1964","1960-1969","46770","46770","33670","1290","41.300000000000004","23675","","","","","","","","2022-04-11","2021-12-09","2","High","Poor","2021-12-09","Yes","2021-04-30","https://damsafety.org/new-jersey"
"Furnace Brook W.S. #2 Dam","","","NJ00137","","NJ00137","Township of Oxford","Local Government","Local Government","24-89","0","","","Yes","Yes","NJDEP","Yes","Yes","Yes","New Jersey","40.79843333333333","-75.01263333333333","Warren","New Jersey","","","Furnace Brook","Congressional District 05, New Jersey","OXFORD TOWNSHIP","","Natural Resources Conservation Service","Natural Resources Conservation Service","Natural Resources Conservation Service","","","","","Flood Risk Reduction","Flood Risk Reduction","Earth","Earth;Gravity","","","55","","","55","51-100 feet","1680","","1971","1970-1979","1440","1440","640","53","2.8000000000000003","140","","","","","","","","2022-04-11","2021-10-07","2","High","Satisfactory","2021-10-07","Yes","2018-10-09","https://damsafety.org/new-jersey"
"Youngs Pond Dam","","","NJ00270","","NJ00270","Mohican Road Farm Associates, LLC","Private","Private","21-63","0","","","Yes","Yes","NJDEP","Yes","Yes","Yes","New Jersey","41.02133333333333","-74.98213333333334","Warren","New Jersey","","","Jacksonburg Creek","Congressional District 05, New Jersey","BLAIRSTOWN TOWNSHIP","","","","","","","","","Recreation","Recreation","Earth","Earth;Gravity","","","18","","","18","Less than 25 feet","460","","1972","1970-1979","263","263","172","14","4.5","7084","","","","","","","","2022-04-11","2021-01-28","2","High","Poor","2021-01-28","Yes","2015-12-10","https://damsafety.org/new-jersey"
